0:0:0:0:0:0:0:1 - - [01/Oct/2024:20:33:35 -0300] "POST /OlaMundo/alunos/cadastrobean/gravar.jsp HTTP/1.1" 200 1588
0:0:0:0:0:0:0:1 - - [01/Oct/2024:20:33:37 -0300] "GET /OlaMundo/alunos/cadastrobean/index.jsp HTTP/1.1" 200 1517
0:0:0:0:0:0:0:1 - - [01/Oct/2024:20:33:42 -0300] "GET /OlaMundo/alunos/cadastrobean/formulario.jsp?idaluno=0 HTTP/1.1" 200 2522
0:0:0:0:0:0:0:1 - - [01/Oct/2024:20:34:12 -0300] "POST /OlaMundo/alunos/cadastrobean/gravar.jsp HTTP/1.1" 200 1588
0:0:0:0:0:0:0:1 - - [01/Oct/2024:20:34:16 -0300] "GET /OlaMundo/alunos/cadastrobean/listar.jsp HTTP/1.1" 200 3704
0:0:0:0:0:0:0:1 - - [01/Oct/2024:20:34:33 -0300] "GET /OlaMundo/alunos/cadastrobean/index.jsp HTTP/1.1" 200 1517
0:0:0:0:0:0:0:1 - - [01/Oct/2024:20:34:49 -0300] "GET /OlaMundo/alunos/cadastrobean/formulario.jsp?idaluno=0 HTTP/1.1" 200 2522
0:0:0:0:0:0:0:1 - - [01/Oct/2024:20:35:10 -0300] "POST /OlaMundo/alunos/cadastrobean/gravar.jsp HTTP/1.1" 200 1588
0:0:0:0:0:0:0:1 - - [01/Oct/2024:20:35:14 -0300] "GET /OlaMundo/alunos/cadastrobean/listar.jsp HTTP/1.1" 200 4256
0:0:0:0:0:0:0:1 - - [01/Oct/2024:20:35:26 -0300] "GET /OlaMundo/alunos/cadastrobean/formulario.jsp?idaluno=0 HTTP/1.1" 200 2522
0:0:0:0:0:0:0:1 - - [01/Oct/2024:20:35:47 -0300] "POST /OlaMundo/alunos/cadastrobean/gravar.jsp HTTP/1.1" 200 1588
0:0:0:0:0:0:0:1 - - [01/Oct/2024:20:35:50 -0300] "GET /OlaMundo/alunos/cadastrobean/listar.jsp HTTP/1.1" 200 4808
0:0:0:0:0:0:0:1 - - [01/Oct/2024:20:36:00 -0300] "GET /OlaMundo/alunos/cadastrobean/formulario.jsp?idaluno=25 HTTP/1.1" 200 2591
0:0:0:0:0:0:0:1 - - [01/Oct/2024:20:36:19 -0300] "POST /OlaMundo/alunos/cadastrobean/gravar.jsp HTTP/1.1" 200 1588
0:0:0:0:0:0:0:1 - - [01/Oct/2024:20:36:22 -0300] "GET /OlaMundo/alunos/cadastrobean/listar.jsp HTTP/1.1" 200 4824
0:0:0:0:0:0:0:1 - - [01/Oct/2024:20:36:36 -0300] "GET /OlaMundo/alunos/cadastrobean/excluir.jsp?idaluno=23 HTTP/1.1" 200 1508
0:0:0:0:0:0:0:1 - - [01/Oct/2024:20:36:43 -0300] "GET /OlaMundo/alunos/cadastrobean/listar.jsp HTTP/1.1" 200 4276
0:0:0:0:0:0:0:1 - - [01/Oct/2024:20:36:51 -0300] "GET /OlaMundo/alunos/cadastrobean/excluir.jsp?idaluno=21 HTTP/1.1" 200 1508
0:0:0:0:0:0:0:1 - - [01/Oct/2024:20:36:56 -0300] "GET /OlaMundo/alunos/cadastrobean/listar.jsp HTTP/1.1" 200 3739
0:0:0:0:0:0:0:1 - - [01/Oct/2024:20:37:03 -0300] "GET /OlaMundo/alunos/cadastrobean/formulario.jsp?idaluno=0 HTTP/1.1" 200 2522
0:0:0:0:0:0:0:1 - - [01/Oct/2024:20:37:26 -0300] "POST /OlaMundo/alunos/cadastrobean/gravar.jsp HTTP/1.1" 200 1588
0:0:0:0:0:0:0:1 - - [01/Oct/2024:20:37:29 -0300] "GET /OlaMundo/alunos/cadastrobean/listar.jsp HTTP/1.1" 200 4274
